Chromosome,Pos,Region,Mdiff,Q-value,Gene ID,Gene symbol,Gene name
NC_027300.1,155927006,Intron,38.31,1.1E-224,106572494,LOC106572494,putative protein TPRXL
NC_027319.1,25632575,Intron,36.35,2.1E-130,106580375,LOC106580375,tetratricopeptide repeat protein 28-like
NC_027301.1,42561798,Exon,-36.1,2.5E-128,106585752,LOC106585752,nucleoplasmin-like protein ANO39
NC_027301.1,42561759,Exon,-34.64,1.1E-115,106585752,LOC106585752,nucleoplasmin-like protein ANO39
NC_027326.1,20279664,Intron,-29.45,1.2E-104,106588673,LOC106588673,"3-oxoacyl-[acyl-carrier-protein] synthase, mitochondrial-like"
NC_027308.1,77618677,P6K,61.3,3.6E-102,106612103,LOC106612103,inositol-trisphosphate 3-kinase B-like
NC_027307.1,9544929,Intron,31.12,3.1E-101,106610067,LOC106610067,uncharacterized LOC106610067
NC_027319.1,34734195,P6K,27.63,2.3E-100,106580516,LOC106580516,ATP-binding cassette sub-family B member 9-like
NC_027308.1,77392832,Exon,37.37,1.4E-99,106612090,LOC106612090,serine-rich adhesin for platelets-like
NC_027326.1,17182735,Intron,-35.35,3.5E-93,106588620,LOC106588620,collagen alpha-1(XXII) chain-like
NC_027315.1,73846228,P6K,47.45,1.5E-92,100286566,Transmembrane protein 182,Transmembrane protein 182
NC_027308.1,77618685,P6K,57.08,2.8E-90,106612103,LOC106612103,inositol-trisphosphate 3-kinase B-like
NC_027317.1,14029976,Intron,27.38,5.0E-90,106576938,LOC106576938,potassium channel subfamily K member 18-like
NC_027319.1,25632590,Intron,31.2,8.7E-90,106580375,LOC106580375,tetratricopeptide repeat protein 28-like
NC_027300.1,349447,P6K,29.6,3.8E-89,106571988,GDNF family receptor alpha-4-like,GDNF family receptor alpha-4-like
NC_027316.1,4444456,Intron,34.94,1.3E-87,106575142,LOC106575142,ras-associated and pleckstrin homology domains-containing protein 1-like
NC_027325.1,2466591,Intron,31.35,6.9E-87,106587031,LOC106587031,hippocampus abundant transcript 1 protein-like
NC_027305.1,36604933,P6K,25.27,1.2E-82,106607328,LOC106607328,apoptosis regulator BAX-like
NC_027302.1,49310631,Intron,36.48,1.9E-81,106600675,ccdc137,coiled-coil domain containing 137
NC_027326.1,16299680,Intron,-23.8,8.0E-81,106588589,LOC106588589,potassium voltage-gated channel subfamily G member 2-like
NC_027302.1,69718463,Flanks,-34.07,2.8E-78,106601383,LOC106601383,ubiquitin carboxyl-terminal hydrolase 43-like
NC_027319.1,34734188,P6K,24.48,2.0E-77,106580516,LOC106580516,ATP-binding cassette sub-family B member 9-like
NC_027327.1,39299721,Flanks,32.13,3.4E-77,106590007,LOC106590007,disrupted in schizophrenia 1 protein-like
NC_027317.1,14030648,Intron,37.06,1.1E-74,106576938,LOC106576938,potassium channel subfamily K member 18-like
NC_027310.1,51195042,P6K,54.49,3.8E-73,106562942,ankra2,ankyrin repeat family A member 2
NC_027325.1,27039482,Intron,55.46,1.1E-71,106587529,sox6,SRY-box 6
NC_027310.1,50843226,Intron,57.54,1.3E-71,106562940,fcho2,FCH domain only 2
NC_027300.1,20344332,P6K,-31.03,2.5E-71,106578585,lck,"LCK proto-oncogene, Src family tyrosine kinase"
NC_027317.1,35916756,Exon,57.42,2.8E-71,106577366,LOC106577366,PHD finger protein 3-like
NC_027308.1,30484884,Intron,-40.3,4.1E-71,106611166,LOC106611166,sodium/potassium/calcium exchanger 4-like
NC_027319.1,43618220,Intron,27.7,2.4E-70,106580682,LOC106580682,dedicator of cytokinesis protein 10-like
NC_027319.1,34734212,P6K,23.38,6.0E-70,106580516,LOC106580516,ATP-binding cassette sub-family B member 9-like
NC_027314.1,351087,Intron,-29.25,8.2E-69,106570802,LOC106570802,calcium/calmodulin-dependent protein kinase type II subunit beta-like
NC_027317.1,55419930,Intron,-78.14,9.9E-68,106577697,LOC106577697,transmembrane protein 256-like
NC_027302.1,4165024,Intron,32.38,1.3E-67,106596891,LOC106596891,noelin-3-like
NC_027300.1,152855126,Intron,26.53,1.3E-67,106572010,ralgps1,Ral GEF with PH domain and SH3 binding motif 1
NC_027317.1,55419894,Intron,-77.28,3.5E-66,106577697,LOC106577697,transmembrane protein 256-like
NC_027313.1,53846488,Intron,-38.68,9.1E-66,106570076,LOC106570076,"RNA-binding motif, single-stranded-interacting protein 3"
NC_027317.1,14029986,Intron,25.62,3.7E-65,106576938,LOC106576938,potassium channel subfamily K member 18-like
NC_027313.1,33567857,Intron,-27.17,8.6E-64,106569408,LOC106569408,protein zyg-11 homolog
NC_027302.1,9203722,P250,55.82,9.7E-64,106598084,LOC106598084,membrane protein FAM159A-like
NC_027302.1,30199632,Intron,36.78,2.1E-63,106599764,LOC106599764,EF-hand calcium-binding domain-containing protein 14-like
NC_027319.1,60863929,Flanks,23.71,2.2E-63,100380805,MAP6 domain-containing protein 1,MAP6 domain-containing protein 1
NC_027314.1,76674155,Intron,-32.69,8.1E-63,106572279,LOC106572279,uncharacterized LOC106572279
NC_027312.1,21910135,Flanks,30.3,4.5E-62,106566691,LOC106566691,vesicle-associated membrane protein-associated protein B-like
NC_027319.1,47849122,Intron,28.24,2.4E-60,106580806,LOC106580806,limbic system-associated membrane protein-like
NC_027300.1,96033718,Intron,-25.22,4.0E-60,106612035,rbfox3,RNA binding fox-1 homolog 3
NC_027317.1,21025430,Intron,45.96,9.2E-60,106577051,LOC106577051,"glutamate receptor ionotropic, delta-1-like"
NC_027318.1,2982765,Intron,-20.36,1.1E-59,106578302,LOC106578302,potassium voltage-gated channel subfamily C member 1-like
NW_012347327.1,12752,Intron,-47.05,2.8E-56,106591865,LOC106591865,T-lymphoma invasion and metastasis-inducing protein 1-like
